,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1974,3800000.0,Lorimar Productions,USA,Sidney Lumet,Drama,16000000.0,Power,R,31-01-1986,111.0,5.7,Richard Gere,2287.0,David Himmelstein,1986
1975,278623.0,Delphi V Productions,Israel,Moshé Mizrahi,Drama,16800000.0,Every Time We Say Goodbye,PG-13,14-11-1986,95.0,5.9,Tom Hanks,1834.0,Moshé Mizrahi,1986
1976,930211.0,Goldcrest Films International,UK,Julien Temple,Drama,17600000.0,Absolute Beginners,PG-13,18-04-1986,108.0,5.6,Patsy Kensit,2659.0,Colin MacInnes,1986
1977,3272600.0,Little Bear,USA,Bertrand Tavernier,Drama,18400000.0,'Round Midnight,R,03-10-1986,133.0,7.4,Dexter Gordon,4028.0,David Rayfiel,1986
1978,4845724.0,Lorimar Productions,USA,Albert Magnoli,Drama,19200000.0,American Anthem,PG-13,27-06-1986,110.0,4.0,Mitchell Gaylord,1284.0,Evan Archerd,1986
1979,37455.0,Ministère de la Culture et de la Communication,France,Éric Rohmer,Drama,20000000.0,Summer,R,29-08-1986,98.0,7.8,Marie Rivière,4612.0,Marie Rivière,1986
1980,3136701.0,Cannon Group,USA,Paul Nicholas,Drama,38898986.0,The Naked Cage,R,07-03-1986,97.0,5.5,Shari Shattuck,327.0,Paul Nicholas,1986
1981,441863.0,Aaron Spelling Productions,USA,Tom Moore,Drama,33720069.14285714,"'night, Mother",PG-13,29-01-1987,96.0,7.6,Sissy Spacek,1840.0,Marsha Norman,1986
1982,203781.0,Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,28541152.285714284,The Assault,PG,06-02-1986,155.0,7.3,Derek de Lint,2694.0,Gerard Soeteman,1986
1983,239073.0,Heron Communications,USA,Janet Greek,Drama,23362235.42857143,The Ladies Club,R,1986-04,85.0,5.3,Karen Austin,154.0,Casey Bishop,1986
1984,537681.0,Rondo Productions,USA,Bill Sherwood,Drama,18183318.57142857,Parting Glances,R,19-02-1986,90.0,7.8,John Bolger,2330.0,Bill Sherwood,1986
1985,8736.0,Golan-Globus Productions,USA,Andrey Konchalovskiy,Drama,13004401.714285713,Duet for One,R,1987-02,107.0,7.0,Julie Andrews,699.0,Tom Kempinski,1986
1986,725000.0,Cinequanon,Argentina,Eliseo Subiela,Drama,7825484.857142858,Man Facing Southeast,R,13-03-1987,105.0,7.8,Lorenzo Quinteros,2991.0,Eliseo Subiela,1986
1987,2646568.0,Rastar Films,USA,Jack Fisk,Drama,4743287.0,Violets Are Blue...,PG-13,25-04-1986,88.0,5.7,Sissy Spacek,553.0,Naomi Foner,1986
1988,1301121.0,American Playhouse,USA,Jerrold Freedman,Drama,2000000.0,Native Son,PG,12-12-1986,111.0,5.9,Victor Love,448.0,Richard Wesley,1986
1989,416393.0,Carson Productions,USA,Eugene Corr,Drama,329626947.5,Desert Bloom,PG,18-04-1986,105.0,6.6,Jon Voight,821.0,Linda Remy,1986
1990,1777378.0,Alternate Current,USA,Lizzie Borden,Drama,657253895.0,Working Girls,R,20-03-1987,93.0,6.5,Louise Smith,604.0,Lizzie Borden,1986
1991,432266.0,Cineplex-Odeon Films,Australia,Tim Burstall,Drama,23576809.0,Kangaroo,R,13-03-1987,108.0,6.7,Colin Friels,156.0,Evan Jones,1986
1992,6408791.0,MTM Enterprises,USA,Allan Burns,Drama,12983043.5,Just Between Friends,PG-13,21-03-1986,110.0,5.9,Mary Tyler Moore,629.0,Allan Burns,1986
1993,2389278.0,Roundhouse,USA,Joe Roth,Drama,2520664.0,Streets of Gold,R,14-11-1986,95.0,6.0,Klaus Maria Brandauer,505.0,Dezsö Magyar,1986
1994,63295.0,Cannon City Produktie Maatschappij B.V.,Netherlands,Franco Zeffirelli,Drama,189042.0,Otello,PG,12-09-1986,100.0,7.2,Plácido Domingo,424.0,Arrigo Boito,1986
1995,440438.0,Alliance Communications Corporation,USA,Rob Nilsson,Drama,25442206.0,On the Edge,PG-13,02-05-1986,95.0,7.1,Bruce Dern,171.0,Roy Kissin,1986
1996,1444618.0,Cote Blanche Productions,USA,Glen Pitre,Drama,50821117.0,Belizaire the Cajun,PG,13-06-1986,103.0,6.4,Armand Assante,391.0,Glen Pitre,1986
1997,227510.0,Les Films 13,France,Claude Lelouch,Drama,76200028.0,A Man and a Woman: 20 Years Later,PG,15-08-1986,112.0,5.8,Anouk Aimée,496.0,Claude Lelouch,1986
1998,149440.0,Fringe Dwellers Productions,Australia,Bruce Beresford,Drama,53100014.0,The Fringe Dwellers,PG,1986-10,98.0,6.7,Kristina Nehm,305.0,Bruce Beresford,1986
1999,30000000.0,Natant,UK,Stanley Kubrick,Drama,46357676.0,Full Metal Jacket,R,10-07-1987,116.0,8.3,Matthew Modine,537826.0,Gustav Hasford,1987
2000,6000000.0,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836.0,Dirty Dancing,PG-13,21-08-1987,100.0,6.9,Patrick Swayze,155978.0,Eleanor Bergstein,1987
2001,14000000.0,Paramount Pictures,USA,Adrian Lyne,Drama,156645693.0,Fatal Attraction,R,18-09-1987,119.0,6.9,Michael Douglas,60383.0,James Dearden,1987
2002,22238696.0,Amblin Entertainment,USA,Steven Spielberg,Drama,35000000.0,Empire of the Sun,PG,25-12-1987,153.0,7.8,Christian Bale,96566.0,Tom Stoppard,1987
2003,18553948.0,Hughes Entertainment,USA,Howard Deutch,Drama,18800000.0,Some Kind of Wonderful,PG-13,27-02-1987,95.0,7.1,Eric Stoltz,21931.0,John Hughes,1987
2004,2600000.0,Merchant Ivory Productions,UK,James Ivory,Drama,3130592.0,Maurice,R,18-09-1987,140.0,7.7,James Wilby,11837.0,E.M. Forster,1987
2005,3210139.0,Road Movies Filmproduktion,West Germany,Wim Wenders,Drama,3480898.0,Wings of Desire,PG-13,06-05-1988,128.0,8.1,Bruno Ganz,51522.0,Wim Wenders,1987
2006,15151736.0,Fries Entertainment,USA,Jeffrey Bloom,Drama,17899387.0,Flowers in the Attic,PG-13,20-11-1987,93.0,5.7,Louise Fletcher,7993.0,Virginia C. Andrews,1987
2007,4542825.0,Nouvelles Éditions de Films (NEF),France,Louis Malle,Drama,10000000.0,Au Revoir les Enfants,PG,12-02-1988,104.0,8.0,Gaspard Manesse,25969.0,Louis Malle,1987
2008,7393346.0,Home Box Office (HBO),USA,Hector Babenco,Drama,27000000.0,Ironweed,R,12-02-1988,143.0,6.8,Jack Nicholson,6874.0,William Kennedy,1987
2009,769119.0,Cannon Group,USA,Andrey Konchalovskiy,Drama,45677888.0,Shy People,R,11-03-1988,100.0,6.9,Jill Clayburgh,940.0,Andrey Konchalovskiy,1987
2010,1680358.0,Cinecom Entertainment Group,USA,John Sayles,Drama,4000000.0,Matewan,PG-13,30-06-1988,135.0,7.9,Chris Cooper,6198.0,John Sayles,1987
2011,1539000.0,Vista Organization,USA,Bill Norton,Drama,34578877.0,Three for the Road,PG,05-05-1988,88.0,5.3,Charlie Sheen,813.0,Richard Martini,1987
2012,2000000.0,TAFT Entertainment Pictures,USA,Paul Schrader,Drama,10489617.0,Light of Day,PG-13,06-02-1987,107.0,5.5,Michael J. Fox,2101.0,Paul Schrader,1987
2013,1997867.0,Per Holst Filmproduktion,Denmark,Bille August,Drama,2053931.0,Pelle the Conqueror,PG-13,21-12-1988,157.0,7.9,Pelle Hvenegaard,8321.0,Martin Andersen Nexø,1987
2014,1338198.0,Nelson Entertainment,USA,Lindsay Anderson,Drama,56575766.0,The Whales of August,R,19-08-1987,90.0,7.6,Bette Davis,3416.0,David Berry,1987
2015,5262047.0,ML Delphi Premier Productions,USA,Francis Ford Coppola,Drama,7765672.0,Gardens of Stone,R,08-05-1987,111.0,6.4,James Caan,4273.0,Nicholas Proffitt,1987
2016,486434.0,Rollins-Joffe Productions,USA,Woody Allen,Drama,10000000.0,September,PG,18-12-1987,83.0,6.7,Elaine Stritch,7620.0,Woody Allen,1987
2017,4370078.0,Vestron Pictures,UK,John Huston,Drama,17500000.0,The Dead,PG,18-12-1987,83.0,7.4,Anjelica Huston,5933.0,Tony Huston,1987
2018,25000000.0,Warner Bros.,USA,Martin Ritt,Drama,30950002.0,Nuts,R,11-12-1987,116.0,6.7,Barbra Streisand,4996.0,Tom Topor,1987
